OpenTime,Open,High,Low,Close,TickVolume
2020-02-24 17:00:00.0000000,9083.12,9211.6,9072.15,9186.1,44574
2020-02-24 21:00:00.0000000,9185.97,9202.7,9154.82,9193.6,36470
2020-02-25 01:00:00.0000000,9193.32,9218.37,9123.97,9126.02,59832
2020-02-25 05:00:00.0000000,9126.15,9175.75,9066.17,9159.17,69248
2020-02-25 09:00:00.0000000,9159.22,9185.27,8936.8,8964.22,133384
2020-02-25 13:00:00.0000000,8960.8,8988,8805.07,8868.85,121026
2020-02-25 17:00:00.0000000,8860.4,8920.95,8836.45,8886.3,54485
2020-02-25 21:00:00.0000000,8886.4,8942.95,8864.12,8914.12,67600
2020-02-26 01:00:00.0000000,8914.4,8922.52,8704.9,8780.72,94106
2020-02-26 05:00:00.0000000,8780.95,8925.17,8779.6,8882.6,99458
2020-02-26 09:00:00.0000000,8882.02,9032.82,8862.05,8925.77,135788
2020-02-26 13:00:00.0000000,8925.82,8941.05,8809.45,8816.6,117764
2020-02-26 17:00:00.0000000,8810.85,8872.92,8744.6,8772.15,66533
2020-02-26 21:00:00.0000000,8771.95,8782.87,8696.1,8731.27,71284
2020-02-27 01:00:00.0000000,8731.1,8839.97,8692.6,8793.3,90902
2020-02-27 05:00:00.0000000,8794.47,8807.07,8671.25,8681.57,86218
2020-02-27 09:00:00.0000000,8681.52,8787.75,8515.22,8730.6,150250
2020-02-27 13:00:00.0000000,8730.8,8774.02,8329.05,8345.2,127619
2020-02-27 17:00:00.0000000,8365.37,8425.07,8308.55,8413.02,67505
2020-02-27 21:00:00.0000000,8413.3,8442.22,8189.32,8213.1,104020
2020-02-28 01:00:00.0000000,8213.32,8351.3,8126.5,8209.85,123218
2020-02-28 05:00:00.0000000,8208.25,8378.7,8195.1,8200.75,115599
2020-02-28 09:00:00.0000000,8199.45,8491.2,8125.2,8413.85,153250
2020-02-28 13:00:00.0000000,8413.8,8569.25,8211.85,8544.25,117544
2020-03-01 17:00:00.0000000,8541.3,8541.3,8247.8,8441.55,71797
2020-03-01 21:00:00.0000000,8440.95,8559.5,8428.45,8509.4,92208
2020-03-02 01:00:00.0000000,8509.35,8674,8476.65,8539.75,103796
2020-03-02 05:00:00.0000000,8538.8,8555.55,8361.25,8507.15,111410
2020-03-02 09:00:00.0000000,8509.9,8733.3,8440.95,8724,152583
2020-03-02 13:00:00.0000000,8726.9,8879.95,8571.1,8815.2,125100
2020-03-02 17:00:00.0000000,8844.35,8888.85,8798.1,8815.65,53657
2020-03-02 21:00:00.0000000,8815.85,8857.85,8753.35,8755.3,76650
2020-03-03 01:00:00.0000000,8755.6,8903.95,8737.05,8894.8,93466
2020-03-03 05:00:00.0000000,8895.05,8914.5,8783.65,8848.65,101014
2020-03-03 09:00:00.0000000,8848.25,8999.35,8704.75,8763.15,150784
2020-03-03 13:00:00.0000000,8762.65,8762.65,8510.4,8557.65,133096
2020-03-03 17:00:00.0000000,8564.05,8672.45,8507.95,8641.45,61963
2020-03-03 21:00:00.0000000,8640.8,8716.85,8623.05,8705.05,70696
2020-03-04 01:00:00.0000000,8705.25,8774.85,8682.4,8760.9,78352
2020-03-04 05:00:00.0000000,8760.2,8808.05,8720.8,8741.85,79330
2020-03-04 09:00:00.0000000,8741.65,8817.05,8664.3,8816.85,140942
2020-03-04 13:00:00.0000000,8817.1,8948.85,8808.4,8889.45,107085
2020-03-04 17:00:00.0000000,8895,8898.8,8826.6,8834.85,43817
2020-03-04 21:00:00.0000000,8835.55,8875.4,8815.5,8866.8,50088
2020-03-05 01:00:00.0000000,8866.65,8867.55,8748.4,8763.5,72150
2020-03-05 05:00:00.0000000,8763.3,8765.4,8683.4,8717.25,87020
2020-03-05 09:00:00.0000000,8717.55,8866.7,8671.75,8686.45,143054
2020-03-05 13:00:00.0000000,8685.4,8744.25,8610.35,8672.2,122505
2020-03-05 17:00:00.0000000,8673.85,8725.35,8607.2,8608.9,48378
2020-03-05 21:00:00.0000000,8609,8614,8520.3,8540.35,76681
2020-03-06 01:00:00.0000000,8539.7,8594.25,8465.95,8465.95,86489
2020-03-06 05:00:00.0000000,8466.15,8475.75,8337.45,8391.75,108090
2020-03-06 09:00:00.0000000,8390.75,8543.85,8312.1,8420.1,148458
2020-03-06 13:00:00.0000000,8419.65,8568.95,8316.75,8500.35,118427
2020-03-08 17:00:00.0000000,8275.65,8275.65,8102.35,8139.65,42522
2020-03-08 21:00:00.0000000,8140.15,8152.75,8090.65,8091.15,17410
2020-03-09 01:00:00.0000000,8091.05,8094.5,8090.9,8093.25,130
2020-03-09 05:00:00.0000000,8093.75,8131.65,8092.5,8094.45,3928
2020-03-09 09:00:00.0000000,8087.55,8240.85,7822.55,8120.55,103812
2020-03-09 13:00:00.0000000,8121.05,8154.75,7881.95,7916.55,111936
2020-03-09 17:00:00.0000000,7867.45,8162.15,7817.45,8160.15,39488
2020-03-09 21:00:00.0000000,8160.3,8218.25,8107.65,8208.95,46785
2020-03-10 01:00:00.0000000,8209.25,8285.8,8155.2,8284.7,65341
2020-03-10 05:00:00.0000000,8284.55,8347.65,8174.3,8231.55,79971
2020-03-10 09:00:00.0000000,8231.6,8254.8,7933.8,8089.25,145968
2020-03-10 13:00:00.0000000,8089.05,8380.05,8013.05,8358.85,99079
2020-03-10 17:00:00.0000000,8315.15,8321.85,8155.6,8190.15,31418
2020-03-10 21:00:00.0000000,8190.85,8226.25,8118.75,8153.85,40472
2020-03-11 01:00:00.0000000,8154.55,8247.85,8086.9,8220.75,56838
2020-03-11 05:00:00.0000000,8221.4,8227.8,8073.4,8079.85,63105
2020-03-11 09:00:00.0000000,8079.35,8223.75,8036.7,8058.75,144392
